City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Grand Bel Air
10,Atuona,PF,77.9,broken clouds,-9.8,-139.0333,Pearl Resort
13,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
15,Namibe,AO,70.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
17,Kapaa,US,82.72,clear sky,22.0752,-159.319,Pono Kai Resort
19,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
20,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
23,Tantoyuca,MX,78.57,overcast clouds,21.35,-98.2333,Hotel Posada San Javier
27,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
33,Alta Floresta,BR,84.63,broken clouds,-9.8756,-56.0861,Villas Hotel
34,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Hotel Prainha
46,Pangkalanbuun,ID,73.71,overcast clouds,-2.6833,111.6167,Hotel Tiara
48,Sur,OM,74.17,overcast clouds,22.5667,59.5289,Sur Hotel
69,Kendari,ID,75.51,light rain,-3.945,122.4989,Hotel Agung
70,Piacabucu,BR,74.95,overcast clouds,-10.4056,-36.4344,O Leão
73,Rikitea,PF,72.72,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
74,Pedasi,PA,81.07,light rain,7.5333,-80.0333,Dim's Hostal
76,Sao Filipe,CV,75.92,scattered clouds,14.8961,-24.4956,Bela Vista
87,Bengkulu,ID,74.17,overcast clouds,-3.8004,102.2655,Dena Hotel
99,Mercedes,AR,75.63,overcast clouds,-34.6515,-59.4307,Gran Hotel Mercedes
110,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
122,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Tara-Mé
124,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
127,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel Argentina 307
141,Inirida,CO,77.61,moderate rain,3.8653,-67.9239,Residencias El Turista del Guainia
145,Souillac,MU,73.78,light rain,-20.5167,57.5167,Hotel SkylineInn
146,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
149,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Pebbles Inn
157,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Page 63 hostel
161,Tutoia,BR,79.95,scattered clouds,-2.7619,-42.2744,Pousada San Vicente
166,Matara,LK,74.95,overcast clouds,5.9485,80.5353,Villa Palm Breeze
169,Karratha,AU,80.98,light rain,-20.7377,116.8463,Karratha International Hotel
171,Mana,GF,77.79,scattered clouds,5.6592,-53.7767,Le Samana
175,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
179,Champerico,GT,82.78,few clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
181,Ilhabela,BR,72.84,moderate rain,-23.7781,-45.3581,Vila Kebaya
201,Benguela,AO,77.4,overcast clouds,-12.5763,13.4055,Hotel Moibela
