City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Amalapuram,IN,16.5833,82.0167,72.21,88,3,4.03,clear sky
1,Mahebourg,MU,-20.4081,57.7,74.25,83,40,2.3,scattered clouds
2,Norman Wells,CA,65.282,-126.8329,1.35,93,100,2.68,light snow
3,Nome,US,64.5011,-165.4064,24.87,81,100,10.36,snow
4,Mataura,NZ,-46.1927,168.8643,50.49,53,81,6.93,broken clouds
5,Flinders,AU,-34.5833,150.8552,66.06,79,100,4.0,overcast clouds
6,Albany,US,42.6001,-73.9662,51.26,93,100,1.01,moderate rain
7,Busselton,AU,-33.65,115.3333,62.08,81,99,9.28,overcast clouds
8,Arlit,NE,18.7369,7.3853,71.51,19,0,7.09,clear sky
9,Bud,US,39.447,-86.1758,36.46,59,0,17.22,clear sky
10,Atuona,PF,-9.8,-139.0333,77.9,74,54,16.15,broken clouds
11,Torbay,CA,47.6666,-52.7314,23.5,83,19,3.0,few clouds
12,Butaritari,KI,3.0707,172.7902,81.28,76,15,12.84,few clouds
13,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,30,8.97,scattered clouds
14,Port Alfred,ZA,-33.5906,26.891,66.18,95,100,5.32,overcast clouds
15,Namibe,AO,-15.1961,12.1522,70.65,71,80,2.89,broken clouds
16,Esso,RU,55.9333,158.7,16.75,98,99,1.41,light snow
17,Kapaa,US,22.0752,-159.319,82.72,74,0,14.97,clear sky
18,Port Augusta,AU,-32.5,137.7667,64.2,56,15,7.9,few clouds
19,Kloulklubed,PW,7.0419,134.2556,77.5,76,100,16.87,overcast clouds
20,Vaini,TO,-21.2,-175.2,82.56,78,75,4.61,broken clouds
21,Victoria,HK,22.2855,114.1577,63.32,77,100,18.01,overcast clouds
22,Altay,CN,47.8667,88.1167,4.06,55,100,6.35,overcast clouds
23,Tantoyuca,MX,21.35,-98.2333,78.57,74,94,4.72,overcast clouds
24,Rawson,AR,-43.3002,-65.1023,68.4,45,32,22.37,scattered clouds
25,Chukhloma,RU,58.7525,42.6825,8.82,97,23,2.3,few clouds
26,Camacha,PT,33.0833,-16.3333,63.82,77,20,12.66,few clouds
27,Lorengau,PG,-2.0226,147.2712,81.77,77,97,4.25,overcast clouds
28,Luorong,CN,24.4058,109.6086,40.28,85,100,14.05,overcast clouds
29,Luderitz,NA,-26.6481,15.1594,63.23,79,0,10.8,clear sky
